idx,n_records,confidence,variability,correctness,region
145,3,0.713742603858312,0.2513410814768479,1.0,Easy-to-learn
146,3,0.4280294676621755,0.12195923488494308,0.6666666666666666,Ambiguous
147,3,0.9619147380193075,0.03528044215191369,1.0,Easy-to-learn
148,3,0.8415880004564921,0.08290238115544972,1.0,Easy-to-learn
149,3,0.8014029363791147,0.21955726157312014,1.0,Easy-to-learn
150,3,0.37283673882484436,0.07016299959425448,0.3333333333333333,Hard-to-learn
151,3,0.8735732436180115,0.09483633665499283,1.0,Easy-to-learn
152,3,0.7751182516415914,0.08517418054595534,1.0,Easy-to-learn
153,3,0.9845150311787924,0.013818941006486863,1.0,Easy-to-learn
154,3,0.8897081017494202,0.0598955863371629,1.0,Easy-to-learn
155,3,0.6451881527900696,0.08114486698737082,1.0,Easy-to-learn
156,3,0.46987268170535873,0.3489110039029164,0.6666666666666666,Ambiguous
157,3,0.9788296818733215,0.008260432877136348,1.0,Easy-to-learn
158,3,0.33958133558432263,0.24048596859080423,0.6666666666666666,Ambiguous
159,3,0.6806550025939941,0.27203566451845296,1.0,Easy-to-learn
160,3,0.874416450659434,0.1396179282873596,1.0,Easy-to-learn
161,3,0.7134951949119568,0.17065158873385097,1.0,Easy-to-learn
162,3,0.8689886927604675,0.160179925804737,1.0,Easy-to-learn
163,3,0.7319853802522024,0.2847257745730495,1.0,Easy-to-learn
164,3,0.6825284560521444,0.18237965536170045,1.0,Easy-to-learn
165,3,0.6102224538723627,0.34021186503417744,0.6666666666666666,Ambiguous
166,3,0.73614102602005,0.25996504455092145,0.6666666666666666,Ambiguous
167,3,0.9964250326156616,0.0025437246771122294,1.0,Easy-to-learn
168,3,0.18656418224175772,0.015059881217280805,0.0,Hard-to-learn
169,3,0.8635113636652628,0.12614568462093556,1.0,Easy-to-learn
170,3,0.328766331076622,0.07796767481801159,0.0,Hard-to-learn
171,3,0.46169206500053406,0.19538668886633456,0.6666666666666666,Ambiguous
172,3,0.9895681937535604,0.006003455072235506,1.0,Easy-to-learn
173,3,0.5479043672482172,0.3379264334216583,0.6666666666666666,Ambiguous
174,3,0.8317965269088745,0.1776980161617754,1.0,Easy-to-learn
175,3,0.8454074064890543,0.15919843001031322,1.0,Easy-to-learn
176,3,0.784408042828242,0.24012522301875583,0.6666666666666666,Ambiguous
177,3,0.14212269112855816,0.12156098243902914,0.0,Hard-to-learn
178,3,0.21963940064112344,0.1036498877708679,0.0,Hard-to-learn
179,3,0.2764188162982464,0.22103898840892516,0.3333333333333333,Hard-to-learn
180,3,0.40848199526468915,0.12595564238315451,0.6666666666666666,Ambiguous
181,3,0.9921988646189371,0.00524901393618121,1.0,Easy-to-learn
182,3,0.8238763213157654,0.06696083863103929,1.0,Easy-to-learn
183,3,0.9757614135742188,0.02178179624732313,1.0,Easy-to-learn
184,3,0.5083954830964407,0.1954896458580992,0.6666666666666666,Ambiguous
185,3,0.001550176544697024,0.001077724982422753,0.0,Hard-to-learn
186,3,0.5269958476225535,0.21755922445226208,1.0,Easy-to-learn
187,3,0.6083863178888956,0.1425119536384241,1.0,Easy-to-learn
188,3,0.8173696597417196,0.03418647631289833,1.0,Easy-to-learn
189,3,0.8262518843015035,0.05500247414152649,1.0,Easy-to-learn
190,3,0.17619562521576881,0.12268566553000149,0.0,Hard-to-learn
191,3,0.9702568848927816,0.011011418334128222,1.0,Easy-to-learn
192,3,0.6436818341414133,0.16766331557170444,1.0,Easy-to-learn
