idx,n_records,confidence,variability,correctness,region
53480,3,2.8198822216533397e-05,3.3524074486868496e-05,0.0,Hard-to-learn
53481,3,0.08693035940329234,0.03388691535482809,0.3333333333333333,Hard-to-learn
53482,3,0.0005544118515293425,0.0004093115606170475,0.0,Hard-to-learn
53483,3,0.0012352416039599727,0.0007726390656758282,0.0,Hard-to-learn
53484,3,0.000451971375393138,0.0004979195632567238,0.0,Hard-to-learn
53485,3,0.4489739462733269,0.27426616274085464,1.0,Easy-to-learn
53486,3,0.463532030582428,0.2992223311692542,1.0,Easy-to-learn
53487,3,0.13471638411283493,0.05501973986025697,0.3333333333333333,Hard-to-learn
53488,3,0.019257257003725197,0.025483795609348547,0.0,Hard-to-learn
53489,3,0.5876746277014414,0.1258511707494595,1.0,Easy-to-learn
53490,3,0.0002788712396674479,0.00029527505297568564,0.0,Hard-to-learn
53491,3,0.560851643482844,0.08786288908434503,1.0,Easy-to-learn
53492,3,0.7926930785179138,0.204481560665769,1.0,Easy-to-learn
53493,3,0.0049536836401481805,0.005081200565986835,0.0,Hard-to-learn
53494,3,0.0037767394387628883,0.004440296230933282,0.0,Hard-to-learn
53495,3,0.39222197234630585,0.25779815301875575,1.0,Easy-to-learn
53496,3,5.204288413551694e-06,4.7405028756020915e-06,0.0,Hard-to-learn
53497,3,0.19236540592828533,0.14525813407200652,0.6666666666666666,Ambiguous
53498,3,0.31698599209388095,0.24801364943962248,0.6666666666666666,Ambiguous
53499,3,0.5843358635902405,0.25562409463700575,1.0,Easy-to-learn
53500,3,0.0017837479147904862,0.0017640341665811623,0.0,Hard-to-learn
53501,3,0.4799978931744893,0.3102228213295517,0.6666666666666666,Ambiguous
53502,3,0.4671195447444916,0.060620425615269535,1.0,Easy-to-learn
53503,3,0.05970308898637692,0.055317571454687985,0.0,Hard-to-learn
53504,3,0.005402010021498427,0.00562768851465394,0.0,Hard-to-learn
53505,3,0.00011968984699706198,0.00015040711957251676,0.0,Hard-to-learn
53506,3,0.3838063105940819,0.22293330541113915,0.6666666666666666,Ambiguous
53507,3,0.012641669328634938,0.012809207663508118,0.0,Hard-to-learn
53508,3,4.4119538263961054e-05,6.432896973393648e-06,0.0,Hard-to-learn
53509,3,0.1812235191464424,0.10887536776992457,1.0,Easy-to-learn
53510,3,0.6684412856896719,0.1621164647815728,1.0,Easy-to-learn
53511,3,0.021163756396466244,0.025323344566816817,0.0,Hard-to-learn
53512,3,0.15804723153511682,0.2082822832807535,0.3333333333333333,Hard-to-learn
53513,3,0.6157269552350044,0.3848263095344123,0.6666666666666666,Ambiguous
53514,3,0.01615265974154075,0.00849304096547796,0.0,Hard-to-learn
53515,3,0.001711856454979473,0.0019268925577437981,0.0,Hard-to-learn
53516,3,0.9391340812047323,0.040180135625483504,1.0,Easy-to-learn
53517,3,0.004954952141512574,0.0069215667480528,0.0,Hard-to-learn
53518,3,0.040717048570513725,0.015426855181209568,0.0,Hard-to-learn
53519,3,0.03608051931951195,0.047352507373085335,0.0,Hard-to-learn
53520,3,0.322560911377271,0.13860422855984408,0.3333333333333333,Hard-to-learn
53521,3,0.16266554795826474,0.17869526987451273,0.3333333333333333,Hard-to-learn
53522,3,0.11158563972761233,0.14027730558735796,0.3333333333333333,Hard-to-learn
53523,3,0.8638299504915873,0.10005661651899772,1.0,Easy-to-learn
53524,3,0.6389892299969991,0.052251360845845016,1.0,Easy-to-learn
53525,3,0.41697730620702106,0.06445426462401273,0.6666666666666666,Ambiguous
53526,3,0.13974417125185332,0.09034222605349267,0.0,Hard-to-learn
53527,3,0.35888052099229145,0.3173133281162715,0.6666666666666666,Ambiguous
